"","State","FIPS"
"1","Alabama","01"
"2","Alaska","02"
"3","Arizona","04"
"4","Arkansas","05"
"5","California","06"
"6","Colorado","08"
"7","Connecticut","09"
"8","Delaware","10"
"9","Florida","12"
"10","Georgia","13"
"11","Hawaii","15"
"12","Idaho","16"
"13","Illinois","17"
"14","Indiana","18"
"15","Iowa","19"
"16","Kansas","20"
"17","Kentucky","21"
"18","Louisiana","22"
"19","Maine","23"
"20","Maryland","24"
"21","Massachusetts","25"
"22","Michigan","26"
"23","Minnesota","27"
"24","Mississippi","28"
"25","Missouri","29"
"26","Montana","30"
"27","Nebraska","31"
"28","Nevada","32"
"29","New Hampshire","33"
"30","New Jersey","34"
"31","New Mexico","35"
"32","New York","36"
"33","North Carolina","37"
"34","North Dakota","38"
"35","Ohio","39"
"36","Oklahoma","40"
"37","Oregon","41"
"38","Pennsylvania","42"
"39","Rhode Island","44"
"40","South Carolina","45"
"41","South Dakota","46"
"42","Tennessee","47"
"43","Texas","48"
"44","Utah","49"
"45","Vermont","50"
"46","Virginia","51"
"47","Washington","53"
"48","West Virginia","54"
"49","Wisconsin","55"
"50","Wyoming","56"
